Date,Time,Auction Name,Contract,Auction Price eur/tCO2,Minimum Bid eur/tCO2,Maximum Bid eur/tCO2,Mean eur/tCO2,Median eur/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue eur,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Italy
(IT)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Malta
(MT)","Netherlands
(NL)","Poland
(PL)","Portugal
(PT)","Romania
(RO)","Sweden
(SE)","Slovenia
(SI)","Slovakia
(SK)"
1/15/19,11:00,Auction 3. Period CAP2-EU,T3PA,22.55,13.00,30.00,22.23,22.40,"2,495,000","6,176,000",111,34,3.58,"55,640","199,226","220,411","124,750","145,477",2.48,31,20,56262250,EU25,"1,217,700","2,390,300","2,976,600","157,850","4,261,950",,"1,093,675","958,375","3,416,325","8,309,675","1,465,750","4,825,700","484,825","1,533,400","823,075","8,614,100","563,750","112,750","281,875","101,475","2,954,050",,"1,713,800","5,073,750","834,350","439,725","1,657,425"
1/14/19,11:01,Auction 3. Period CAP2-EU,T3PA,21.95,12.00,30.00,21.69,21.90,"2,495,000","5,854,000",76,32,2.53,"77,026","195,133","209,760","113,409","139,021",2.35,30,22,54765250,EU25,"1,185,300","2,326,700","2,897,400","153,650","4,148,550",,"1,064,575","932,875","3,325,425","8,088,575","1,426,750","4,697,300","471,925","1,492,600","801,175","8,384,900","548,750","109,750","274,375","98,775","2,875,450",,"1,668,200","4,938,750","812,150","428,025","1,613,325"
1/10/19,11:00,Auction 3. Period CAP2-EU,T3PA,21.40,12.00,30.00,21.05,21.19,"2,495,000","5,808,500",98,34,3.06,"59,270","181,516","197,401","108,478","102,746",2.33,32,23,53393000,EU25,"1,155,600","2,268,400","2,824,800","149,800","4,044,600",,"1,037,900","909,500","3,242,100","7,885,900","1,391,000","4,579,600","460,100","1,455,200","781,100","8,174,800","535,000","107,000","267,500","96,300","2,803,400",,"1,626,400","4,815,000","791,800","417,300","1,572,900"
1/8/19,11:00,Auction 3. Period CAP2-EU,T3PA,22.40,13.00,30.00,22.14,22.40,"2,495,000","4,859,500",103,47,3.22,"47,180","151,859","172,240","99,800","96,020",1.95,32,25,55888000,EU25,"1,209,600","2,374,400","2,956,800","156,800","4,233,600",,"1,086,400","952,000","3,393,600","8,254,400","1,456,000","4,793,600","481,600","1,523,200","817,600","8,556,800","560,000","112,000","280,000","100,800","2,934,400",,"1,702,400","5,040,000","828,800","436,800","1,646,400"
1/7/19,11:00,Auction 3. Period CAP2-EU,T3PA,23.01,13.00,30.00,22.76,23.10,"2,495,000","6,006,000",98,62,3.63,"61,286","222,444","277,007","108,478","121,828",2.41,27,23,57409950,EU25,"1,242,540","2,439,060","3,037,320","161,070","4,348,890",,"1,115,985","977,925","3,486,015","8,479,185","1,495,650","4,924,140","494,715","1,564,680","839,865","8,789,820","575,250","115,050","287,625","103,545","3,014,310",,"1,748,760","5,177,250","851,370","448,695","1,691,235"
12/17/18,11:01,Auction 3. Period CAP2-EU,T3PA,23.40,13.00,30.00,22.82,23.29,"4,148,000","7,856,000",84,35,3.23,"93,524","302,154","373,698","197,524","243,496",1.89,26,21,97063200,EU25,"2,620,800","3,989,700","3,521,700","245,700","6,938,100",,"2,398,500","900,900","5,931,900","14,578,200","2,527,200","9,219,600","503,100","2,772,900","2,082,600","15,923,700","1,251,900","210,600","397,800","140,400","5,241,600",,"3,381,300","8,283,600","1,205,100","783,900","2,012,400"
12/13/18,11:00,Auction 3. Period CAP2-EU,T3PA,21.88,13.00,27.22,21.57,21.78,"4,213,000","8,969,000",83,33,3.07,"108,060","332,185","503,083","263,313","380,754",2.13,27,16,92180440,EU25,"2,198,940","4,014,980","3,894,640","262,560","6,170,160",,"1,980,140","1,487,840","5,491,880","13,664,060","2,647,480","8,664,480","754,860","2,373,980","1,476,900","15,250,360","842,380","185,980","426,660","164,100","5,305,900",,"2,778,760","7,592,360","1,411,260","700,160","2,439,620"
12/11/18,11:00,Auction 3. Period CAP2-EU,T3PA,20.77,12.00,25.25,20.43,20.74,"4,213,000","10,562,000",94,42,3.24,"112,362","364,207","639,379","200,619","310,634",2.51,29,21,87504010,EU25,"2,087,385","3,811,295","3,697,060","249,240","5,857,140",,"1,879,685","1,412,360","5,213,270","12,970,865","2,513,170","8,224,920","716,565","2,253,545","1,401,975","14,476,690","799,645","176,545","405,015","155,775","5,036,725",,"2,637,790","7,207,190","1,339,665","664,640","2,315,855"
12/10/18,11:00,Auction 3. Period CAP2-EU,T3PA,19.77,5.00,25.25,19.83,19.80,"4,213,000","6,981,500",78,43,2.69,"89,506","240,741","394,072","175,542","306,856",1.66,29,24,83291010,EU25,"1,986,885","3,627,795","3,519,060","237,240","5,575,140",,"1,789,185","1,344,360","4,962,270","12,346,365","2,392,170","7,828,920","682,065","2,145,045","1,334,475","13,779,690","761,145","168,045","385,515","148,275","4,794,225",,"2,510,790","6,860,190","1,275,165","632,640","2,204,355"
12/6/18,11:00,Auction 3. Period CAP2-EU,T3PA,18.55,13.00,25.25,18.40,18.42,"4,213,000","13,720,500",100,32,3.57,"137,205","490,018","906,857","210,650","348,285",3.26,28,20,78151150,EU25,"1,864,275","3,403,925","3,301,900","222,600","5,231,100",,"1,678,775","1,261,400","4,656,050","11,584,475","2,244,550","7,345,800","639,975","2,012,675","1,252,125","12,929,350","714,175","157,675","361,725","139,125","4,498,375",,"2,355,850","6,436,850","1,196,475","593,600","2,068,325"
