Date,Price
04/07/08,25.35
04/14/08,26.18
04/21/08,26.36
04/28/08,25.53
05/05/08,26.47
05/12/08,26.22
05/19/08,27.02
05/26/08,27.51
06/02/08,28.07
06/09/08,28.55
06/16/08,28.74
06/23/08,29.60
06/30/08,30.52
07/07/08,28.92
07/14/08,27.98
07/21/08,26.95
07/28/08,24.92
08/04/08,24.21
08/11/08,25.34
08/18/08,26.28
08/25/08,27.02
09/01/08,26.66
09/08/08,25.32
09/15/08,25.45
09/22/08,26.47
09/29/08,24.62
10/06/08,23.64
10/13/08,23.80
10/20/08,21.75
10/27/08,18.97
11/03/08,19.56
11/10/08,19.07
11/17/08,17.19
11/24/08,17.13
12/01/08,16.25
12/08/08,15.86
12/15/08,16.37
12/22/08,16.36
12/29/08,16.38
01/05/09,15.66
01/12/09,13.76
01/19/09,11.98
01/26/09,12.23
02/02/09,10.84
02/09/09,9.20
02/16/09,9.83
02/23/09,10.27
03/02/09,11.42
03/09/09,12.53
03/16/09,12.85
03/23/09,11.84
03/30/09,12.63
04/06/09,13.50
04/13/09,14.56
04/20/09,14.10
04/27/09,14.57
05/04/09,15.48
05/11/09,15.57
05/18/09,15.60
05/25/09,15.77
06/01/09,15.19
06/08/09,13.89
06/15/09,13.49
06/22/09,13.78
06/29/09,13.74
07/06/09,13.98
07/13/09,14.89
07/20/09,14.80
07/27/09,14.22
08/03/09,14.84
08/10/09,14.69
08/17/09,15.34
08/24/09,15.60
08/31/09,15.45
09/07/09,15.49
09/14/09,14.23
09/21/09,13.67
09/28/09,13.53
10/05/09,13.83
10/12/09,14.62
10/19/09,14.96
10/26/09,14.79
11/02/09,14.68
11/09/09,13.87
11/16/09,13.63
11/23/09,13.14
11/30/09,13.83
12/07/09,14.54
12/14/09,14.15
12/21/09,12.73
12/28/09,12.66
01/04/10,12.79
01/11/10,13.22
01/18/10,13.45
01/25/10,13.29
02/01/10,12.94
02/08/10,13.34
02/15/10,12.97
02/22/10,12.89
03/01/10,13.32
03/08/10,13.07
03/15/10,13.07
03/22/10,12.79
03/29/10,12.77
04/05/10,13.35
04/12/10,13.93
04/19/10,14.62
04/26/10,15.32
05/03/10,15.92
05/10/10,15.52
05/17/10,14.84
05/24/10,15.29
05/31/10,15.13
06/07/10,15.46
06/14/10,15.60
06/21/10,15.30
06/28/10,15.24
07/05/10,14.79
07/12/10,13.95
07/19/10,14.13
07/26/10,13.77
08/02/10,14.30
08/09/10,14.41
08/16/10,14.59
08/23/10,15.08
08/30/10,15.47
09/06/10,15.52
09/13/10,15.26
09/20/10,14.98
09/27/10,15.44
10/04/10,15.49
10/11/10,15.64
10/18/10,15.10
10/25/10,14.96
11/01/10,14.60
11/08/10,14.55
11/15/10,14.90
11/22/10,15.08
11/29/10,14.79
12/06/10,14.69
12/13/10,14.31
12/20/10,13.93
12/27/10,13.95
01/03/11,14.28
01/10/11,14.09
01/17/11,14.26
01/24/11,14.56
01/31/11,14.62
02/07/11,14.50
02/14/11,14.58
02/21/11,15.06
02/28/11,15.29
03/07/11,15.33
03/14/11,16.49
03/21/11,16.32
03/28/11,16.79
05/16/11,16.21
05/23/11,16.13
05/30/11,16.56
06/06/11,16.34
06/13/11,15.96
06/20/11,13.87
